19:58:58.788 -> Humi: 55.20 %, Temp: 25.10 Celsius
20:01:57.023 -> Humidity: 84.40 %, Temp: 20.20 Celsius
20:01:59.014 -> Humidity: 88.70 %, Temp: 20.30 Celsius
20:02:01.021 -> Humidity: 91.20 %, Temp: 20.60 Celsius
20:02:03.042 -> Humidity: 92.90 %, Temp: 20.70 Celsius
20:02:05.063 -> Humidity: 94.50 %, Temp: 20.90 Celsius
20:02:07.038 -> Humidity: 95.90 %, Temp: 21.10 Celsius
20:02:09.056 -> Humidity: 95.50 %, Temp: 21.20 Celsius
20:02:11.048 -> Humidity: 90.30 %, Temp: 21.20 Celsius
20:02:13.092 -> Humidity: 85.20 %, Temp: 21.30 Celsius
20:02:15.074 -> Humidity: 81.10 %, Temp: 21.40 Celsius
20:02:17.086 -> Humidity: 77.50 %, Temp: 21.40 Celsius
20:02:19.108 -> Humidity: 74.50 %, Temp: 21.50 Celsius
20:02:21.104 -> Humidity: 71.70 %, Temp: 21.50 Celsius
20:02:23.103 -> Humidity: 69.20 %, Temp: 21.50 Celsius
20:02:25.111 -> Humidity: 67.10 %, Temp: 21.50 Celsius
20:02:27.140 -> Humidity: 65.30 %, Temp: 21.50 Celsius
20:02:29.151 -> Humidity: 63.80 %, Temp: 21.50 Celsius
20:02:31.147 -> Humidity: 62.40 %, Temp: 21.50 Celsius
20:02:33.164 -> Humidity: 61.20 %, Temp: 21.50 Celsius
20:02:35.167 -> Humidity: 60.10 %, Temp: 21.50 Celsius
20:02:37.154 -> Humidity: 59.50 %, Temp: 21.40 Celsius
20:02:39.182 -> Humidity: 58.90 %, Temp: 21.40 Celsius
20:02:41.195 -> Humidity: 58.40 %, Temp: 21.40 Celsius
20:02:43.171 -> Humidity: 58.00 %, Temp: 21.40 Celsius
20:02:45.189 -> Humidity: 57.70 %, Temp: 21.40 Celsius
20:02:47.187 -> Humidity: 57.30 %, Temp: 21.30 Celsius
20:02:49.222 -> Humidity: 57.00 %, Temp: 21.30 Celsius
20:02:51.230 -> Humidity: 56.80 %, Temp: 21.30 Celsius
20:02:53.238 -> Humidity: 56.60 %, Temp: 21.30 Celsius
20:02:55.221 -> Humidity: 56.40 %, Temp: 21.30 Celsius
20:02:57.229 -> Humidity: 56.20 %, Temp: 21.30 Celsius
20:02:59.256 -> Humidity: 56.00 %, Temp: 21.20 Celsius
20:03:01.244 -> Humidity: 55.90 %, Temp: 21.20 Celsius
20:03:03.277 -> Humidity: 55.80 %, Temp: 21.20 Celsius
20:03:05.255 -> Humidity: 55.80 %, Temp: 21.20 Celsius
20:03:07.292 -> Humidity: 55.70 %, Temp: 21.10 Celsius
20:03:09.281 -> Humidity: 55.60 %, Temp: 21.10 Celsius
20:03:11.298 -> Humidity: 55.60 %, Temp: 21.10 Celsius
20:03:13.285 -> Humidity: 55.60 %, Temp: 21.10 Celsius
20:03:15.314 -> Humidity: 55.50 %, Temp: 21.00 Celsius
20:03:17.296 -> Humidity: 55.50 %, Temp: 21.00 Celsius
20:03:19.318 -> Humidity: 55.50 %, Temp: 21.00 Celsius
20:03:21.339 -> Humidity: 55.50 %, Temp: 21.00 Celsius
20:03:23.348 -> Humidity: 55.50 %, Temp: 21.00 Celsius
